,ID,well,campo,Socio,E_Brent,tipo_costo,P_D,FC_T
0,0,NW10NA,CANO_RONDON,sin_socio,50,pesimista,-0.2,"[Decimal('0'), Decimal('5598.6567'), Decimal('-2596.5399'), Decimal('3680.5013'), Decimal('1820.4352'), Decimal('909.0724'), Decimal('386.0565'), Decimal('174.2492'), Decimal('65.1833'), Decimal('-255.2223'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
1,1,NW10NA,CANO_RONDON,sin_socio,60,pesimista,-0.2,"[Decimal('0'), Decimal('6694.3731'), Decimal('-1020.6817'), Decimal('4482.3541'), Decimal('2244.1598'), Decimal('1154.6417'), Decimal('503.9783'), Decimal('240.8394'), Decimal('106.2908'), Decimal('-252.6096'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
2,2,NW10NA,CANO_RONDON,sin_socio,70,pesimista,-0.2,"[Decimal('0'), Decimal('7790.0895'), Decimal('256.2375'), Decimal('5107.5238'), Decimal('2565.113'), Decimal('1327.6915'), Decimal('602.2197'), Decimal('307.4297'), Decimal('147.3984'), Decimal('-249.9969'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
3,3,NW10NA,CANO_RONDON,sin_socio,80,pesimista,-0.2,"[Decimal('0'), Decimal('8885.8058'), Decimal('1533.1568'), Decimal('5732.6934'), Decimal('2886.0663'), Decimal('1499.5901'), Decimal('684.7649'), Decimal('356.0562'), Decimal('188.5059'), Decimal('-247.3841'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
4,4,NW10NA,CANO_RONDON,sin_socio,90,pesimista,-0.2,"[Decimal('0'), Decimal('9981.5222'), Decimal('2810.076'), Decimal('6357.8631'), Decimal('3207.0195'), Decimal('1671.4886'), Decimal('767.3102'), Decimal('402.6694'), Decimal('218.9072'), Decimal('-244.7714'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
5,5,NW10NA,CANO_RONDON,sin_socio,50,pesimista,-0.1,"[Decimal('0'), Decimal('5598.6567'), Decimal('-1741.384'), Decimal('3680.5013'), Decimal('1820.4352'), Decimal('909.0724'), Decimal('386.0565'), Decimal('174.2492'), Decimal('65.1833'), Decimal('-255.2223'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
6,6,NW10NA,CANO_RONDON,sin_socio,60,pesimista,-0.1,"[Decimal('0'), Decimal('6694.3731'), Decimal('-293.7558'), Decimal('4419.5738'), Decimal('2211.9292'), Decimal('1138.5307'), Decimal('503.9783'), Decimal('240.8394'), Decimal('106.2908'), Decimal('-252.6096'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
7,7,NW10NA,CANO_RONDON,sin_socio,70,pesimista,-0.1,"[Decimal('0'), Decimal('7790.0895'), Decimal('983.1635'), Decimal('5044.7434'), Decimal('2532.8825'), Decimal('1310.4292'), Decimal('593.9304'), Decimal('304.7621'), Decimal('147.3984'), Decimal('-249.9969'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
8,8,NW10NA,CANO_RONDON,sin_socio,80,pesimista,-0.1,"[Decimal('0'), Decimal('8885.8058'), Decimal('2260.0827'), Decimal('5669.913'), Decimal('2853.8357'), Decimal('1482.3278'), Decimal('676.4756'), Decimal('351.3753'), Decimal('187.2422'), Decimal('-247.3841'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
9,9,NW10NA,CANO_RONDON,sin_socio,90,pesimista,-0.1,"[Decimal('0'), Decimal('9981.5222'), Decimal('3537.0019'), Decimal('6295.0827'), Decimal('3174.7889'), Decimal('1654.2263'), Decimal('759.0209'), Decimal('397.9884'), Decimal('216.0175'), Decimal('-244.7714'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
10,10,NW10NA,CANO_RONDON,sin_socio,50,pesimista,0,"[Decimal('0'), Decimal('5598.6567'), Decimal('-886.2282'), Decimal('3680.5013'), Decimal('1820.4352'), Decimal('909.0724'), Decimal('386.0565'), Decimal('174.2492'), Decimal('65.1833'), Decimal('-255.2223'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
