,ID,id_pozo,campo,Socio,E_Brent,tipo_costo,P_D,VPN_Basica,VPN_incremental,VPN_Total,capex_T,capex_B,capex_I,opex_B,opex_T,opex_I,volumen_B_LE,volumen_I_LE,volumen_T_LE,LE_year_B,LE_year_T,LE_year_I,lc_B,dc_B,lc_T,dc_T,lc_I,dc_I,EFI_Total,payout_T,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b,fixed_costs,Gross_fluid,productor_well,ingreso,costo_variable,MCM
0,0,NW10NA,CANO_RONDON,sin_socio,50,pesimista,-0.2,0,5658.7032,5658.7032,10261.8705,0,10261.8705,0,1109.9167,1109.9167,0.0,0.5211927478388227,0.5211927478388227,2023.0,2031.0,2031.0,0,0,1.5688,15.7514,1.57,15.7632,0.5848671748019512,6.0,656.1896007049802,9784.309576570276,63.81829896395495,16280.591414477118,117.57073776552953,0,337.7977,772.119,0,0,0
1,1,NW10NA,CANO_RONDON,sin_socio,60,pesimista,-0.2,0,8513.6548,8513.6548,10261.8705,0,10261.8705,0,1109.9167,1109.9167,0.0,0.5211927478388227,0.5211927478388227,2023.0,2031.0,2031.0,0,0,1.5688,15.7514,1.57,15.7632,0.9928978090087983,6.0,656.1896007049802,9784.309576570276,1201.164716267958,20272.889456281217,117.57073776552953,0,337.7977,772.119,0,0,0
2,2,NW10NA,CANO_RONDON,sin_socio,70,pesimista,-0.2,0,11318.2547,11318.2547,10261.8705,0,10261.8705,0,1109.9167,1109.9167,0.0,0.5211927478388227,0.5211927478388227,2023.0,2031.0,2031.0,0,0,1.5688,15.7514,1.57,15.7632,1.4009284432156457,6.0,656.1896007049802,9784.309576570276,2388.862912262956,24265.18749808532,117.57073776552953,0,337.7977,772.119,0,0,0
3,3,NW10NA,CANO_RONDON,sin_socio,80,pesimista,-0.2,0,14118.3487,14118.3487,10261.8705,0,10261.8705,0,1109.9167,1109.9167,0.0,0.5211927478388227,0.5211927478388227,2023.0,2031.0,2031.0,0,0,1.5688,15.7514,1.57,15.7632,1.8089590774224935,6.0,656.1896007049802,9784.309576570276,3581.0669670420148,28257.48553988942,117.57073776552953,0,337.7977,772.119,0,0,0
4,4,NW10NA,CANO_RONDON,sin_socio,90,pesimista,-0.2,0,16918.4426,16918.4426,10261.8705,0,10261.8705,0,1109.9167,1109.9167,0.0,0.5211927478388227,0.5211927478388227,2023.0,2031.0,2031.0,0,0,1.5688,15.7514,1.57,15.7632,2.2169897116293407,5.0,656.1896007049802,9784.309576570276,4773.271021821074,32249.783581693515,117.57073776552953,0,337.7977,772.119,0,0,0
5,5,NW10NA,CANO_RONDON,sin_socio,50,pesimista,-0.1,0,6303.7307,6303.7307,9406.7146,0,9406.7146,0,1109.9167,1109.9167,0.0,0.5211927478388227,0.5211927478388227,2023.0,2031.0,2031.0,0,0,1.5688,14.4387,1.57,14.4496,0.7289460088748557,6.0,656.1896007049802,8968.95044518942,234.14988929979384,16280.591414477118,117.57073776552953,0,337.7977,772.119,0,0,0
6,6,NW10NA,CANO_RONDON,sin_socio,60,pesimista,-0.1,0,9135.0048,9135.0048,9406.7146,0,9406.7146,0,1109.9167,1109.9167,0.0,0.5211927478388227,0.5211927478388227,2023.0,2031.0,2031.0,0,0,1.5688,14.4387,1.57,14.4496,1.174070337100507,6.0,656.1896007049802,8968.95044518942,1395.1738870537092,20272.889456281217,117.57073776552953,0,337.7977,772.119,0,0,0
7,7,NW10NA,CANO_RONDON,sin_socio,70,pesimista,-0.1,0,11938.0009,11938.0009,9406.7146,0,9406.7146,0,1109.9167,1109.9167,0.0,0.5211927478388227,0.5211927478388227,2023.0,2031.0,2031.0,0,0,1.5688,14.4387,1.57,14.4496,1.6191946653261589,6.0,656.1896007049802,8968.95044518942,2584.475821616127,24265.18749808532,117.57073776552953,0,337.7977,772.119,0,0,0
8,8,NW10NA,CANO_RONDON,sin_socio,80,pesimista,-0.1,0,14738.0949,14738.0949,9406.7146,0,9406.7146,0,1109.9167,1109.9167,0.0,0.5211927478388227,0.5211927478388227,2023.0,2031.0,2031.0,0,0,1.5688,14.4387,1.57,14.4496,2.0643189935518107,5.0,656.1896007049802,8968.95044518942,3776.679876395186,28257.48553988942,117.57073776552953,0,337.7977,772.119,0,0,0
9,9,NW10NA,CANO_RONDON,sin_socio,90,pesimista,-0.1,0,17538.1889,17538.1889,9406.7146,0,9406.7146,0,1109.9167,1109.9167,0.0,0.5211927478388227,0.5211927478388227,2023.0,2031.0,2031.0,0,0,1.5688,14.4387,1.57,14.4496,2.509443321777462,5.0,656.1896007049802,8968.95044518942,4968.883931174245,32249.783581693515,117.57073776552953,0,337.7977,772.119,0,0,0
